"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","","src\Main.java","4","9","Unused static import 'org.junit.Assert.*'","Code Style","UnnecessaryImport"
"2","","src\Main.java","4","10","Unused import 'org.junit.Test'","Code Style","UnnecessaryImport"
"3","","src\Main.java","4","11","Duplicate import 'services.PasswordPolicyService'","Code Style","UnnecessaryImport"
"4","","src\Main.java","3","13","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"5","","src\Main.java","4","13","Avoid short class names like Main","Code Style","ShortClassName"
"6","","src\Main.java","3","17","Ensure that resources like this Scanner object are closed after use","Error Prone","CloseResource"
"7","","src\Main.java","3","17","Local variable 'input' could be declared final","Code Style","LocalVariableCouldBeFinal"
"8","","src\Main.java","3","17","Specify a character set instead of relying on the default charset","Best Practices","RelianceOnDefaultCharset"
"9","","src\Main.java","2","23","Usage of System.out/err","Best Practices","SystemPrintln"
"10","","src\Main.java","2","25","Usage of System.out/err","Best Practices","SystemPrintln"
"11","","src\Main.java","2","26","Usage of System.out/err","Best Practices","SystemPrintln"
"12","","src\Main.java","2","27","Usage of System.out/err","Best Practices","SystemPrintln"
"13","","src\Main.java","2","29","Usage of System.out/err","Best Practices","SystemPrintln"
"14","","src\Main.java","3","29","The String literal 'Enter Choice: ' appears 5 times in this file; the first occurrence is on line 29","Error Prone","AvoidDuplicateLiterals"
"15","","src\Main.java","3","35","Switch statements or expressions should be exhaustive, add a default case (or missing enum branches)","Best Practices","NonExhaustiveSwitch"
"16","","src\Main.java","2","56","Usage of System.out/err","Best Practices","SystemPrintln"
"17","","src\Main.java","2","58","Usage of System.out/err","Best Practices","SystemPrintln"
"18","","src\Main.java","2","59","Usage of System.out/err","Best Practices","SystemPrintln"
"19","","src\Main.java","2","60","Usage of System.out/err","Best Practices","SystemPrintln"
"20","","src\Main.java","2","61","Usage of System.out/err","Best Practices","SystemPrintln"
"21","","src\Main.java","2","62","Usage of System.out/err","Best Practices","SystemPrintln"
"22","","src\Main.java","2","64","Usage of System.out/err","Best Practices","SystemPrintln"
